time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,total_ehc_plans,review_expected_2025,review_not_expected_2025,review_completed_2025,review_completed_prior_2025,review_not_completed,outcome_amended,outcome_ceased,outcome_maintained,no_outcome_recorded,decision_4_weeks,decision_over_4_weeks
2025,Calendar year,National,E92000001,England,,,,,,Age at 31 August 2025,Aged 10,47974,37622,10352,27712,2333,7577,21790,12,4587,1323,13267,14445
2025,Calendar year,National,E92000001,England,,,,,,Age at 31 August 2025,Aged 11,51387,41194,10193,21267,10284,9643,10738,6,9597,926,10564,10703
2025,Calendar year,National,E92000001,England,,,,,,Age at 31 August 2025,Aged 12,51296,46133,5163,28707,6280,11146,13126,13,14281,1287,13567,15140
2025,Calendar year,National,E92000001,England,,,,,,Age at 31 August 2025,Aged 13,52986,46455,6531,28097,6689,11669,13713,16,13212,1156,13227,14870
2025,Calendar year,National,E92000001,England,,,,,,Age at 31 August 2025,Aged 14,53511,46641,6870,27064,7311,12266,16729,20,9186,1129,12314,14750
2025,Calendar year,National,E92000001,England,,,,,,Age at 31 August 2025,Aged 15,52245,46293,5952,27496,4341,14456,20356,55,5891,1194,15165,12331
2025,Calendar year,National,E92000001,England,,,,,,Age at 31 August 2025,Aged 16,48113,43774,4339,22902,11245,9627,16957,64,4940,941,8728,14174
2025,Calendar year,National,E92000001,England,,,,,,Age at 31 August 2025,Aged 17,41907,40193,1714,21003,8687,10503,10801,379,8905,918,10194,10809
2025,Calendar year,National,E92000001,England,,,,,,Age at 31 August 2025,Aged 18,31936,31125,811,14936,7683,8506,8019,758,5367,792,7046,7890
2025,Calendar year,National,E92000001,England,,,,,,Age at 31 August 2025,Aged 19,21751,21385,366,9208,6742,5435,5021,541,3182,464,3799,5409
2025,Calendar year,National,E92000001,England,,,,,,Age at 31 August 2025,Aged 2 and under,535,31,504,15,0,16,10,0,5,0,8,7
2025,Calendar year,National,E92000001,England,,,,,,Age at 31 August 2025,Aged 20 and over,39350,38930,420,13404,13746,11780,5909,1390,5473,632,6131,7273
2025,Calendar year,National,E92000001,England,,,,,,Age at 31 August 2025,Aged 3,5003,443,4560,303,3,137,228,0,62,13,176,127
2025,Calendar year,National,E92000001,England,,,,,,Age at 31 August 2025,Aged 4,22312,4022,18290,2048,209,1765,1084,1,850,113,1283,765
2025,Calendar year,National,E92000001,England,,,,,,Age at 31 August 2025,Aged 5,33028,21904,11124,13586,842,7476,7745,3,5193,645,6767,6819
2025,Calendar year,National,E92000001,England,,,,,,Age at 31 August 2025,Aged 6,39600,30207,9393,19237,2248,8722,11778,10,6538,911,9284,9953
2025,Calendar year,National,E92000001,England,,,,,,Age at 31 August 2025,Aged 7,39838,31288,8550,18850,3518,8920,12054,16,5872,908,8967,9883
2025,Calendar year,National,E92000001,England,,,,,,Age at 31 August 2025,Aged 8,41596,33516,8080,20969,3665,8882,11832,8,8172,957,10175,10794
2025,Calendar year,National,E92000001,England,,,,,,Age at 31 August 2025,Aged 9,44469,35830,8639,22223,4253,9354,12090,8,9147,978,10734,11489
2025,Calendar year,National,E92000001,England,,,,,,Age at 31 August 2025,Unknown,1,1,0,0,0,1,0,0,0,0,0,0
2025,Calendar year,National,E92000001,England,,,,,,All reviews of EHC plans,All reviews of EHC plans,718838,596987,121851,339027,100079,157881,199980,3300,120460,15287,161396,177631
2025,Calendar year,National,E92000001,England,,,,,,Ethnicity,Any other ethnic group,12055,10086,1969,5485,1554,3047,3021,60,2128,276,2427,3058
2025,Calendar year,National,E92000001,England,,,,,,Ethnicity,Asian - Any other Asian background,11679,9894,1785,5461,1334,3099,3129,42,1896,394,2397,3064
2025,Calendar year,National,E92000001,England,,,,,,Ethnicity,Asian - Bangladeshi,10533,8809,1724,5014,1318,2477,2552,35,2294,133,2188,2826
2025,Calendar year,National,E92000001,England,,,,,,Ethnicity,Asian - Chinese,1990,1723,267,1006,274,443,560,11,400,35,500,506
2025,Calendar year,National,E92000001,England,,,,,,Ethnicity,Asian - Indian,12243,10407,1836,5276,1452,3679,2964,52,1780,480,2271,3005
2025,Calendar year,National,E92000001,England,,,,,,Ethnicity,Asian - Pakistani,24206,20745,3461,11294,3490,5961,5886,107,4052,1249,5485,5809
2025,Calendar year,National,E92000001,England,,,,,,Ethnicity,Black - Any other Black background,7557,6371,1186,3244,885,2242,1696,21,1369,158,1412,1832
2025,Calendar year,National,E92000001,England,,,,,,Ethnicity,Black - Black African,27731,22941,4790,12162,3151,7628,6540,86,4854,682,5251,6911
2025,Calendar year,National,E92000001,England,,,,,,Ethnicity,Black - Black Caribbean,8405,7180,1225,3385,1026,2769,1794,57,1343,191,1377,2008
2025,Calendar year,National,E92000001,England,,,,,,Ethnicity,Mixed - Any other Mixed background,18298,15070,3228,8349,2266,4455,4795,61,3042,451,3742,4607
2025,Calendar year,National,E92000001,England,,,,,,Ethnicity,Mixed - White and Asian,8357,7005,1352,3979,1104,1922,2319,28,1394,238,1891,2088
2025,Calendar year,National,E92000001,England,,,,,,Ethnicity,Mixed - White and Black African,6356,5302,1054,2891,868,1543,1632,17,1105,137,1329,1562
