time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,personal_budget,org_arrangments,pb_health,pb_education,pb_social,pb_integrated
201920,Academic year,National,E92000001,England,,,,,,All personal budgets,All personal budgets,20346,2235,355,1362,16467,723
201920,Academic year,Regional,E92000001,England,E12000001,North East,,,,All personal budgets,All personal budgets,1403,179,89,62,1003,212
201920,Academic year,Regional,E92000001,England,E12000002,North West,,,,All personal budgets,All personal budgets,4513,378,41,234,3906,40
201920,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,All personal budgets,All personal budgets,1004,100,38,152,740,25
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,All personal budgets,All personal budgets,1327,272,47,89,864,101
201920,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,All personal budgets,All personal budgets,1530,154,12,114,1113,195
201920,Academic year,Regional,E92000001,England,E12000006,East of England,,,,All personal budgets,All personal budgets,3910,563,32,88,3370,92
201920,Academic year,Regional,E92000001,England,E12000007,London,,,,All personal budgets,All personal budgets,3749,341,44,207,3249,23
201920,Academic year,Regional,E92000001,England,E12000008,South East,,,,All personal budgets,All personal budgets,2318,177,39,242,1874,17
201920,Academic year,Regional,E92000001,England,E12000009,South West,,,,All personal budgets,All personal budgets,592,71,13,174,348,18
201920,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,All personal budgets,All personal budgets,165,40,0,24,94,7
201920,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,All personal budgets,All personal budgets,199,1,4,6,176,13
201920,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,All personal budgets,All personal budgets,96,0,1,1,86,8
201920,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,All personal budgets,All personal budgets,107,7,0,0,89,11
201920,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,All personal budgets,All personal budgets,124,124,54,2,68,0
201920,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,All personal budgets,All personal budgets,2,1,1,1,2,2
201920,Academic year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,All personal budgets,All personal budgets,170,2,4,2,170,4
201920,Academic year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,All personal budgets,All personal budgets,72,0,0,2,0,70
201920,Academic year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,All personal budgets,All personal budgets,54,1,0,6,46,1
201920,Academic year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,All personal budgets,All personal budgets,11,3,0,8,0,0
201920,Academic year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,All personal budgets,All personal budgets,109,0,15,0,0,94
201920,Academic year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,All personal budgets,All personal budgets,294,0,10,10,272,2
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E08000011,340,Knowsley,All personal budgets,All personal budgets,1,0,0,0,0,1
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E08000012,341,Liverpool,All personal budgets,All personal budgets,251,138,0,107,0,6
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E08000013,342,St. Helens,All personal budgets,All personal budgets,5,0,0,0,2,3
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E08000014,343,Sefton,All personal budgets,All personal budgets,89,1,2,6,80,0
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E08000015,344,Wirral,All personal budgets,All personal budgets,180,0,0,7,173,0
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E08000001,350,Bolton,All personal budgets,All personal budgets,135,3,3,4,125,0
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E08000002,351,Bury,All personal budgets,All personal budgets,231,77,12,5,136,1
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E08000003,352,Manchester,All personal budgets,All personal budgets,1234,0,13,7,1223,0
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E08000004,353,Oldham,All personal budgets,All personal budgets,222,0,1,6,215,0
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E08000005,354,Rochdale,All personal budgets,All personal budgets,5,4,0,0,0,1
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E08000006,355,Salford,All personal budgets,All personal budgets,58,0,1,9,48,0
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E08000007,356,Stockport,All personal budgets,All personal budgets,257,56,3,46,165,20
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E08000008,357,Tameside,All personal budgets,All personal budgets,2,0,0,2,0,0
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E08000009,358,Trafford,All personal budgets,All personal budgets,156,49,3,0,148,0
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E08000010,359,Wigan,All personal budgets,All personal budgets,263,48,0,0,214,1
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E06000006,876,Halton,All personal budgets,All personal budgets,186,0,3,10,173,0
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E06000007,877,Warrington,All personal budgets,All personal budgets,160,0,0,5,155,0
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E10000017,888,Lancashire,All personal budgets,All personal budgets,568,2,0,10,554,2
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E06000008,889,Blackburn with Darwen,All personal budgets,All personal budgets,30,0,0,0,30,0
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E06000009,890,Blackpool,All personal budgets,All personal budgets,61,0,0,0,61,0
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E06000049,895,Cheshire East,All personal budgets,All personal budgets,111,0,0,1,105,5
201920,Academic year,Local authority,E92000001,England,E12000002,North West,E06000050,896,Cheshire West and Chester,All personal budgets,All personal budgets,8,0,0,8,0,0
