SEND tribunal appealable decisions rate 2024 - 2025,,,,,,,
"SEND Appeal rate table 1: Special Educational Needs - Appeal rate to the SEND Tribunal based on total appealable decisions, by local authorities in England 2024-2025",,,,,,,
,,,,,,,
Sources:,Appeals - His Majesty's Courts Service (HMCTS) GAPS2 case management system,,,,,,
,"Appealable decisions - Department for Education (DfE) Statements of SEN and EHC plans, England - SEN2 annual collection",,,,,,
,,,,,,,
,,2024,,,2025,,
,Old LA code,Appeals registered,Total Appealable Decisions,SEND Tribunal Appeal Rate2,Appeals,Total Appealable decisions,SEND Tribunal Appeal Rate
NORTH EAST,,,,,,,
Darlington,841,8,700,1.10%,9,978,0.90%
Durham,840,344,3124,11.00%,445,3861,11.50%
Gateshead,390,133,1186,11.20%,158,1744,9.10%
Hartlepool,805,22,672,3.30%,32,489,6.50%
Middlesbrough,806,23,1442,1.60%,28,949,3.00%
Newcastle upon Tyne,391,44,2052,2.10%,91,1644,5.50%
North Tyneside,392,83,1563,5.30%,67,1434,4.70%
Northumberland,929,58,2575,2.30%,98,3003,3.30%
Redcar and Cleveland,807,41,524,7.80%,35,513,6.80%
South Tyneside,393,56,1409,4.00%,67,1452,4.60%
Stockton-on-Tees,808,47,1326,3.50%,50,2166,2.30%
Sunderland,394,108,1939,5.60%,141,1661,8.50%
NORTH WEST,,,  ,,,,
Blackburn with Darwen,889,18,1175,1.50%,11,1291,0.90%
Blackpool,890,21, x ,x,23,1514,1.50%
Bolton,350,48,1712,2.80%,83,2051,4.00%
Bury,351,65,1546,4.20%,53,1745,3.00%
Cheshire East,895,140,3310,4.20%,118,3736,3.20%
Cheshire West and Chester,896,107,1885,5.70%,114,2299,5.00%
Cumberland,942,65,2039,3.20%,64,1968,3.30%
Halton,876,33,1036,3.20%,41,1198,3.40%
Knowsley,340,68,1297,5.20%,127,1623,7.80%
Lancashire,888,334,5032,6.60%,472,6417,7.40%
Liverpool,341,349,4476,7.80%,393,3284,12.00%
Manchester,352,108,5110,2.10%,177,6390,2.80%
Oldham,353,101,2441,4.10%,168,3091,5.40%
Rochdale,354,45,1772,2.50%,59,2148,2.70%
Salford,355,97,2407,4.00%,93,2123,4.40%
Sefton,343,70,1642,4.30%,89,1855,4.80%
St. Helens,342,82,1171,7.00%,87,1497,5.80%
Stockport,356,80,2030,3.90%,105,2693,3.90%
Tameside,357,53,1800,2.90%,116,1645,7.10%
