time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,age,ehcp_or_statement,num_caseload,pc_caseload,,,,,,,,
2024,Calendar year,National,E92000001,England,,,,,,Age 11 to 15,EHCP,209742,36.3836,,,,,,,,
2024,Calendar year,National,E92000001,England,,,,,,Age 11 to 15,Statement,z,z,,,,,,,,
2024,Calendar year,National,E92000001,England,,,,,,Age 11 to 15,Total,209742,36.3836,,,,,,,,
2024,Calendar year,National,E92000001,England,,,,,,Age 16 to 19,EHCP,115723,20.07428,,,,,,,,
2024,Calendar year,National,E92000001,England,,,,,,Age 16 to 19,Statement,z,z,,,,,,,,
2024,Calendar year,National,E92000001,England,,                                       ,,,,Age 16 to 19,Total,115723,20.07428,,,,,,,,
2024,Calendar year,National,E92000001,England,,,,,,Age 20 to 25,EHCP,35942,6.2348,,,,,,,,
2024,Calendar year,National,E92000001,England,,,,,,Age 20 to 25,Statement,z,z,,,,,,,,
2024,Calendar year,National,E92000001,England,,,,,,Age 20 to 25,Total,35942,6.2348,,,,,,,,
2024,Calendar year,National,E92000001,England,,,,,,Age 5 to 10,EHCP,188258,32.65681,,,,,,,,
2024,Calendar year,National,E92000001,England,,,,,,Age 5 to 10,Statement,z,z,,,,,,,,                                                                  
2024,Calendar year,National,E92000001,England,,,,,,Age 5 to 10,Total,188258,32.65681,,,,,,,,
2024,Calendar year,National,E92000001,England,,,,,,Total,EHCP,576474,100,,,,,,,,
2024,Calendar year,National,E92000001,England,,,,,,Total,Statement,z,z,,,,,,,,
2024,Calendar year,National,E92000001,England,,,,,,Total,Total,576474,100,,,,,,,,
2024,Calendar year,National,E92000001,England,,,,,,Under 5,EHCP,26689,4.6297,,,,,,,,
2024,Calendar year,National,E92000001,England,,,,,,Under 5,Statement,z,z,,,,,,,,
2024,Calendar year,National,E92000001,England,,,,,,Under 5,Total,26689,4.6297,,,,,,,,
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 11 to 15,EHCP,10108,38.49493,,,,,,,,
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 11 to 15,Statement,z,z,,,,,,,,
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 11 to 15,Total,10108,38.49493,,,,,,,,
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 16 to 19,EHCP,5152,19.62069,,,,,,,,
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 16 to 19,Statement,z,z,,,,,,,,
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 16 to 19,Total,5152,19.62069,,,,,,,,
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 20 to 25,EHCP,1173,4.46721,,,,,,,,
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 20 to 25,Statement,z,z,,,,,,,,
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 20 to 25,Total,1173,4.46721,,,,,,,,
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 5 to 10,EHCP,8535,32.50438,,,,,,,,
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 5 to 10,Statement,z,z,,,,,,,,
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 5 to 10,Total,8535,32.50438,,,,,,,,
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Total,EHCP,26258,100,,,,,,,,
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Total,Statement,z,z,,,,,,,,
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Total,Total,26258,100,,,,,,,,
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Under 5,EHCP,1290,4.91279,,,,,,,,
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Under 5,Statement,z,z,,,,,,,,
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Under 5,Total,1290,4.91279,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Age 11 to 15,EHCP,401,46.68219,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Age 11 to 15,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Age 11 to 15,Total,401,46.68219,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Age 16 to 19,EHCP,192,22.35157,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Age 16 to 19,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Age 16 to 19,Total,192,22.35157,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Age 20 to 25,EHCP,34,3.95809,,,,,,,,
