time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,age,ehcp_or_statement,num_new_plans,pc_new_plans
2023,Calendar year,National,E92000001,England,,,,,,Age 11 to 15,EHCP,22045,26.111006
2023,Calendar year,National,E92000001,England,,,,,,Age 11 to 15,Statement,z,z
2023,Calendar year,National,E92000001,England,,,,,,Age 11 to 15,Total,22045,26.111006
2023,Calendar year,National,E92000001,England,,,,,,Age 16 to 19,EHCP,3904,4.624058
2023,Calendar year,National,E92000001,England,,,,,,Age 16 to 19,Statement,z,z
2023,Calendar year,National,E92000001,England,,,,,,Age 16 to 19,Total,3904,4.624058
2023,Calendar year,National,E92000001,England,,,,,,Age 20 to 25,EHCP,212,0.251102
2023,Calendar year,National,E92000001,England,,,,,,Age 20 to 25,Statement,z,z
2023,Calendar year,National,E92000001,England,,,,,,Age 20 to 25,Total,212,0.251102
2023,Calendar year,National,E92000001,England,,,,,,Age 5 to 10,EHCP,37256,44.127541
2023,Calendar year,National,E92000001,England,,,,,,Age 5 to 10,Statement,z,z
2023,Calendar year,National,E92000001,England,,,,,,Age 5 to 10,Total,37256,44.127541
2023,Calendar year,National,E92000001,England,,,,,,Total,EHCP,84428,100
2023,Calendar year,National,E92000001,England,,,,,,Total,Statement,z,z
2023,Calendar year,National,E92000001,England,,,,,,Total,Total,84428,100
2023,Calendar year,National,E92000001,England,,,,,,Under 5,EHCP,21011,24.886294
2023,Calendar year,National,E92000001,England,,,,,,Under 5,Statement,z,z
2023,Calendar year,National,E92000001,England,,,,,,Under 5,Total,21011,24.886294
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 11 to 15,EHCP,979,25.763158
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 11 to 15,Statement,z,z
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 11 to 15,Total,979,25.763158
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 16 to 19,EHCP,124,3.263158
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 16 to 19,Statement,z,z
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 16 to 19,Total,124,3.263158
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 20 to 25,EHCP,9,0.236842
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 20 to 25,Statement,z,z
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 20 to 25,Total,9,0.236842
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 5 to 10,EHCP,1691,44.5
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 5 to 10,Statement,z,z
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Age 5 to 10,Total,1691,44.5
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Total,EHCP,3800,100
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Total,Statement,z,z
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Total,Total,3800,100
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Under 5,EHCP,997,26.236842
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Under 5,Statement,z,z
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Under 5,Total,997,26.236842
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Age 11 to 15,EHCP,37,33.035714
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Age 11 to 15,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Age 11 to 15,Total,37,33.035714
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Age 16 to 19,EHCP,2,1.785714
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Age 16 to 19,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Age 16 to 19,Total,2,1.785714
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Age 20 to 25,EHCP,0,0
