time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,ehcp_or_statement,age,weeks,num_children_yp
2024,Calendar year,National,E92000001,England,,,,,,EHCP,under 5,38 to 51,7
2024,Calendar year,National,E92000001,England,,,,,,EHCP,5 to 10,38 to 51,114
2024,Calendar year,National,E92000001,England,,,,,,EHCP,11 to 15,38 to 51,526
2024,Calendar year,National,E92000001,England,,,,,,EHCP,16 to 19,38 to 51,480
2024,Calendar year,National,E92000001,England,,,,,,EHCP,20 to 25,38 to 51,224
2024,Calendar year,National,E92000001,England,,,,,,EHCP,under 5,52,0
2024,Calendar year,National,E92000001,England,,,,,,EHCP,5 to 10,52,51
2024,Calendar year,National,E92000001,England,,,,,,EHCP,11 to 15,52,369
2024,Calendar year,National,E92000001,England,,,,,,EHCP,16 to 19,52,269
2024,Calendar year,National,E92000001,England,,,,,,EHCP,20 to 25,52,85
2024,Calendar year,National,E92000001,England,,,,,,statement,under 5,38 to 51,z
2024,Calendar year,National,E92000001,England,,,,,,statement,5 to 10,38 to 51,z
2024,Calendar year,National,E92000001,England,,,,,,statement,11 to 15,38 to 51,z
2024,Calendar year,National,E92000001,England,,,,,,statement,16 to 19,38 to 51,z
2024,Calendar year,National,E92000001,England,,,,,,statement,under 5,52,z
2024,Calendar year,National,E92000001,England,,,,,,statement,5 to 10,52,z
2024,Calendar year,National,E92000001,England,,,,,,statement,11 to 15,52,z
2024,Calendar year,National,E92000001,England,,,,,,statement,16 to 19,52,z
2024,Calendar year,National,E92000001,England,,,,,,EHCP,Total,38 to 51,1351
2024,Calendar year,National,E92000001,England,,,,,,EHCP,Total,52,774
2024,Calendar year,National,E92000001,England,,,,,,statement,Total,38 to 51,z
2024,Calendar year,National,E92000001,England,,,,,,statement,Total,52,z
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,EHCP,under 5,38 to 51,0
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,EHCP,5 to 10,38 to 51,2
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,EHCP,11 to 15,38 to 51,8
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,EHCP,16 to 19,38 to 51,4
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,EHCP,20 to 25,38 to 51,0
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,EHCP,under 5,52,0
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,EHCP,5 to 10,52,4
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,EHCP,11 to 15,52,35
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,EHCP,16 to 19,52,5
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,EHCP,20 to 25,52,1
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,statement,under 5,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,statement,5 to 10,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,statement,11 to 15,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,statement,16 to 19,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,statement,under 5,52,z
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,statement,5 to 10,52,z
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,statement,11 to 15,52,z
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,statement,16 to 19,52,z
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,EHCP,Total,38 to 51,14
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,EHCP,Total,52,45
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,statement,Total,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000001,North East,,,,statement,Total,52,z
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,EHCP,under 5,38 to 51,1
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,EHCP,5 to 10,38 to 51,1
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,EHCP,11 to 15,38 to 51,9
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,EHCP,16 to 19,38 to 51,10
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,EHCP,20 to 25,38 to 51,5
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,EHCP,under 5,52,0
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,EHCP,5 to 10,52,2
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,EHCP,11 to 15,52,13
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,EHCP,16 to 19,52,19
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,EHCP,20 to 25,52,5
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,statement,under 5,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,statement,5 to 10,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,statement,11 to 15,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,statement,16 to 19,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,statement,under 5,52,z
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,statement,5 to 10,52,z
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,statement,11 to 15,52,z
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,statement,16 to 19,52,z
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,EHCP,Total,38 to 51,26
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,EHCP,Total,52,39
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,statement,Total,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,statement,Total,52,z
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,under 5,38 to 51,0
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,5 to 10,38 to 51,2
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,11 to 15,38 to 51,15
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,16 to 19,38 to 51,11
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,20 to 25,38 to 51,8
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,under 5,52,0
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,5 to 10,52,4
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,11 to 15,52,34
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,16 to 19,52,23
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,20 to 25,52,3
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,statement,under 5,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,statement,5 to 10,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,statement,11 to 15,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,statement,16 to 19,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,statement,under 5,52,z
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,statement,5 to 10,52,z
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,statement,11 to 15,52,z
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,statement,16 to 19,52,z
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,Total,38 to 51,36
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,Total,52,64
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,statement,Total,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,statement,Total,52,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,under 5,38 to 51,0
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,5 to 10,38 to 51,3
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,11 to 15,38 to 51,32
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,16 to 19,38 to 51,23
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,20 to 25,38 to 51,9
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,under 5,52,0
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,5 to 10,52,0
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,11 to 15,52,14
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,16 to 19,52,14
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,20 to 25,52,1
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,statement,under 5,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,statement,5 to 10,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,statement,11 to 15,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,statement,16 to 19,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,statement,under 5,52,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,statement,5 to 10,52,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,statement,11 to 15,52,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,statement,16 to 19,52,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,Total,38 to 51,67
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,Total,52,29
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,statement,Total,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,statement,Total,52,z
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,under 5,38 to 51,0
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,5 to 10,38 to 51,2
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,11 to 15,38 to 51,18
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,16 to 19,38 to 51,27
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,20 to 25,38 to 51,30
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,under 5,52,0
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,5 to 10,52,5
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,11 to 15,52,46
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,16 to 19,52,29
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,20 to 25,52,8
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,statement,under 5,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,statement,5 to 10,38 to 51,z
