time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,new_ehc_plans,mainstream_la_maintained,mainstream_la_maintained_resourced_provision,mainstream_la_maintained_senunit,mainstream_academy,mainstream_academy_resourced_provision,mainstream_academy_senunit,mainstream_free_school,mainstream_free_school_resourced_provision,mainstream_free_school_senunit,mainstream_independent,mainstream_total,mainstream_total_pc,special_la_maintained,special_academy_free,special_independent,special_non_maintained,special_total,special_total_pc,ap_pru_academy,ap_pru_free_school,ap_pru_la_maintained,ap_pru_total,AP_PRU_total_pc,general_fe_tertiary_colleges,specialist_post_16_institutions,ukrlp_provider,fe_total,fe_total_pc,elective_home_education,other_arrangements_la,other_arrangements_parents,online_provider,w_settings,other_schools,other_placement_settings,neet,neet_ntci,neet_other,neet_other_csa,ed_elsewhere,ed_elsewhere_pc,nm_early_years,nm_early_years_pc,placement_unknown,placement_unknown_pc,await_prov_2022,perm_ex_2022
2019,Calendar year,National,E92000001,England,,,,,,New EHC plans,New EHC plans,53899,20087,644,493,13546,472,375,527,5,1,605,36755,68.2,5594,2705,1602,158,10059,18.7,303,90,625,1018,1.9,1579,140,x,1719,3.2,x,445,145,x,x,x,111,x,x,x,x,1187,2.2,1877,3.5,x,x,1134,39
2019,Calendar year,Regional,E92000001,England,E12000001,North East,,,,New EHC plans,New EHC plans,2633,958,54,7,519,55,26,19,0,0,4,1642,62.4,377,192,56,13,638,24.2,5,1,27,33,1.3,63,6,x,69,2.6,x,3,6,x,x,x,16,x,x,x,x,29,1.1,116,4.4,x,x,88,2
2019,Calendar year,Regional,E92000001,England,E12000002,North West,,,,New EHC plans,New EHC plans,7769,3303,105,59,1140,46,30,50,0,0,48,4781,61.5,1270,411,279,45,2005,25.8,34,10,140,184,2.4,243,17,x,260,3.3,x,32,15,x,x,x,12,x,x,x,x,97,1.2,284,3.7,x,x,144,2
2019,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,New EHC plans,New EHC plans,4671,1617,53,7,1617,39,1,19,0,0,21,3374,72.2,285,172,103,19,579,12.4,46,18,102,166,3.6,155,34,x,189,4,x,11,15,x,x,x,23,x,x,x,x,74,1.6,193,4.1,x,x,70,3
2019,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,New EHC plans,New EHC plans,3706,1105,16,30,1213,19,35,14,0,0,18,2450,66.1,335,288,88,10,721,19.5,13,16,17,46,1.2,102,9,x,111,3,x,51,22,x,x,x,9,x,x,x,x,115,3.1,113,3,x,x,141,0
2019,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,New EHC plans,New EHC plans,5096,1638,89,2,1179,29,7,36,0,0,62,3042,59.7,741,402,210,2,1355,26.6,11,4,75,90,1.8,177,18,x,195,3.8,x,45,11,x,x,x,21,x,x,x,x,104,2,103,2,x,x,181,5
2019,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,New EHC plans,New EHC plans,5485,1970,7,64,1898,23,23,56,2,0,95,4138,75.4,317,211,82,2,612,11.2,66,11,38,115,2.1,140,6,x,146,2.7,x,49,22,x,x,x,14,x,x,x,x,152,2.8,235,4.3,x,x,70,3
2019,Calendar year,Regional,E92000001,England,E12000007,London,,,,New EHC plans,New EHC plans,9000,4390,166,109,1542,137,61,139,3,1,163,6711,74.6,686,385,195,19,1285,14.3,22,25,80,127,1.4,226,7,x,233,2.6,x,106,30,x,x,x,5,x,x,x,x,192,2.1,320,3.6,x,x,126,1
2019,Calendar year,Regional,E92000001,England,E12000008,South East,,,,New EHC plans,New EHC plans,9511,3458,124,160,2245,65,147,92,0,0,123,6414,67.4,1161,430,365,38,1994,21,22,2,82,106,1.1,213,23,x,236,2.5,x,70,12,x,x,x,11,x,x,x,x,189,2,297,3.1,x,x,243,21
2019,Calendar year,Regional,E92000001,England,E12000009,South West,,,,New EHC plans,New EHC plans,6028,1648,30,55,2193,59,45,102,0,0,71,4203,69.7,422,214,224,10,870,14.4,84,3,64,151,2.5,260,20,x,280,4.6,x,78,12,x,x,x,0,x,x,x,x,235,3.9,216,3.6,x,x,71,2
2019,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,New EHC plans,New EHC plans,186,62,2,0,16,3,0,0,0,0,3,86,46.2,29,17,2,1,49,26.3,0,0,0,0,0,4,0,x,4,2.2,x,0,0,x,x,x,0,x,x,x,x,0,0,4,2.2,x,x,43,0
2019,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,New EHC plans,New EHC plans,314,150,3,7,39,7,23,4,0,0,0,233,74.2,23,36,1,3,63,20.1,2,0,0,2,0.6,7,3,x,10,3.2,x,0,1,x,x,x,0,x,x,x,x,2,0.6,1,0.3,x,x,3,0
2019,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,New EHC plans,New EHC plans,377,172,19,0,23,1,0,0,0,0,0,215,57,105,0,4,3,112,29.7,0,0,13,13,3.4,17,1,x,18,4.8,x,0,2,x,x,x,9,x,x,x,x,5,1.3,3,0.8,x,x,2,0
2019,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,New EHC plans,New EHC plans,164,78,1,0,12,1,0,0,0,0,0,92,56.1,31,0,4,1,36,22,0,0,4,4,2.4,16,0,x,16,9.8,x,0,1,x,x,x,0,x,x,x,x,8,4.9,8,4.9,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,New EHC plans,New EHC plans,232,40,5,0,60,6,3,3,0,0,0,117,50.4,14,56,5,0,75,32.3,0,0,1,1,0.4,6,0,x,6,2.6,x,0,0,x,x,x,0,x,x,x,x,0,0,0,0,x,x,33,0
2019,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,New EHC plans,New EHC plans,103,45,1,0,40,0,0,0,0,0,1,87,84.5,8,1,3,0,12,11.7,0,0,3,3,2.9,0,0,x,0,0,x,0,0,x,x,x,0,x,x,x,x,0,0,1,1,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,New EHC plans,New EHC plans,127,30,0,0,42,0,0,0,0,0,0,72,56.7,0,0,0,0,0,0,3,0,0,3,2.4,2,0,x,2,1.6,x,0,0,x,x,x,0,x,x,x,x,0,0,50,39.4,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,New EHC plans,New EHC plans,146,27,7,0,66,7,0,0,0,0,0,107,73.3,6,16,6,0,28,19.2,0,0,0,0,0,2,0,x,2,1.4,x,0,0,x,x,x,1,x,x,x,x,2,1.4,1,0.7,x,x,3,2
2019,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,New EHC plans,New EHC plans,262,76,16,0,58,26,0,3,0,0,0,179,68.3,0,31,10,0,41,15.6,0,0,2,2,0.8,3,0,x,3,1.1,x,0,0,x,x,x,1,x,x,x,x,1,0.4,35,13.4,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,New EHC plans,New EHC plans,336,157,0,0,39,0,0,1,0,0,0,197,58.6,91,16,8,1,116,34.5,0,1,1,2,0.6,4,1,x,5,1.5,x,3,1,x,x,x,4,x,x,x,x,9,2.7,3,0.9,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,New EHC plans,New EHC plans,86,5,0,0,45,4,0,6,0,0,0,60,69.8,1,15,6,1,23,26.7,0,0,2,2,2.3,0,0,x,0,0,x,0,0,x,x,x,0,x,x,x,x,1,1.2,0,0,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,New EHC plans,New EHC plans,300,116,0,0,79,0,0,2,0,0,0,197,65.7,69,4,7,3,83,27.7,0,0,1,1,0.3,2,1,x,3,1,x,0,1,x,x,x,1,x,x,x,x,1,0.3,10,3.3,x,x,4,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000011,340,Knowsley,New EHC plans,New EHC plans,214,103,1,0,29,4,0,0,0,0,1,138,64.5,29,7,6,2,44,20.6,0,0,1,1,0.5,9,1,x,10,4.7,x,0,1,x,x,x,0,x,x,x,x,3,1.4,17,7.9,x,x,0,1
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000012,341,Liverpool,New EHC plans,New EHC plans,416,142,16,0,26,0,0,2,0,0,1,187,45,141,1,28,12,182,43.8,0,6,1,7,1.7,17,0,x,17,4.1,x,7,0,x,x,x,0,x,x,x,x,13,3.1,8,1.9,x,x,2,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000013,342,St. Helens,New EHC plans,New EHC plans,234,126,20,0,21,0,0,0,0,0,4,171,73.1,25,0,10,2,37,15.8,0,0,3,3,1.3,19,1,x,20,8.5,x,0,0,x,x,x,0,x,x,x,x,0,0,3,1.3,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000014,343,Sefton,New EHC plans,New EHC plans,318,118,5,34,34,0,8,1,0,0,1,201,63.2,69,0,13,8,90,28.3,0,0,3,3,0.9,12,0,x,12,3.8,x,0,1,x,x,x,0,x,x,x,x,1,0.3,11,3.5,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000015,344,Wirral,New EHC plans,New EHC plans,297,82,0,1,27,0,0,0,0,0,3,113,38,137,0,3,4,144,48.5,0,0,0,0,0,30,4,x,34,11.4,x,0,0,x,x,x,4,x,x,x,x,0,0,1,0.3,x,x,0,1
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000001,350,Bolton,New EHC plans,New EHC plans,350,146,0,0,60,0,0,3,0,0,0,209,59.7,46,37,18,2,103,29.4,19,0,0,19,5.4,11,0,x,11,3.1,x,2,0,x,x,x,0,x,x,x,x,6,1.7,0,0,x,x,2,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000002,351,Bury,New EHC plans,New EHC plans,213,108,2,0,32,4,0,0,0,0,5,151,70.9,12,6,14,0,32,15,0,0,9,9,4.2,11,0,x,11,5.2,x,1,0,x,x,x,0,x,x,x,x,7,3.3,1,0.5,x,x,2,0
2019,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000003,352,Manchester,New EHC plans,New EHC plans,665,191,4,0,158,3,0,10,0,0,3,369,55.5,96,32,4,0,132,19.8,0,0,20,20,3,26,1,x,27,4.1,x,1,0,x,x,x,0,x,x,x,x,7,1.1,3,0.5,x,x,107,0
