la_code,la_name,SN,SN_code,SN_name,SN_prox
E06000001,Hartlepool,1,E06000003,Redcar and Cleveland,Very close
E06000001,Hartlepool,2,E08000024,Sunderland,Very close
E06000001,Hartlepool,3,E08000023,South Tyneside,Very close
E06000001,Hartlepool,4,E06000009,Blackpool,Very close
E06000001,Hartlepool,5,E06000002,Middlesbrough,Close 
E06000001,Hartlepool,6,E08000037,Gateshead,Close 
E06000001,Hartlepool,7,E06000047,County Durham,Close 
E06000001,Hartlepool,8,E06000006,Halton,Close 
E06000001,Hartlepool,9,E08000018,Rotherham,Close 
E06000001,Hartlepool,10,E08000011,Knowsley,Close 
E06000002,Middlesbrough,1,E06000009,Blackpool,Very close
E06000002,Middlesbrough,2,E06000001,Hartlepool,Close 
E06000002,Middlesbrough,3,E06000021,Stoke-on-Trent,Close 
E06000002,Middlesbrough,4,E08000005,Rochdale,Close 
E06000002,Middlesbrough,5,E08000021,Newcastle upon Tyne,Close 
E06000002,Middlesbrough,6,E08000031,Wolverhampton,Close 
E06000002,Middlesbrough,7,E08000030,Walsall,Close 
E06000002,Middlesbrough,8,E08000023,South Tyneside,Close 
E06000002,Middlesbrough,9,E08000012,Liverpool,Close 
E06000002,Middlesbrough,10,E08000006,Salford,Close 
E06000003,Redcar and Cleveland,1,E08000024,Sunderland,Very close
E06000003,Redcar and Cleveland,2,E08000023,South Tyneside,Very close
E06000003,Redcar and Cleveland,3,E06000001,Hartlepool,Very close
E06000003,Redcar and Cleveland,4,E08000018,Rotherham,Very close
E06000003,Redcar and Cleveland,5,E08000037,Gateshead,Very close
E06000003,Redcar and Cleveland,6,E06000047,County Durham,Very close
E06000003,Redcar and Cleveland,7,E08000016,Barnsley,Very close
E06000003,Redcar and Cleveland,8,E08000008,Tameside,Very close
E06000003,Redcar and Cleveland,9,E08000017,Doncaster,Very close
E06000003,Redcar and Cleveland,10,E06000027,Torbay,Very close
E06000004,Stockton-on-Tees,1,E06000005,Darlington,Very close
E06000004,Stockton-on-Tees,2,E08000027,Dudley,Very close
E06000004,Stockton-on-Tees,3,E10000017,Lancashire,Very close
E06000004,Stockton-on-Tees,4,E08000037,Gateshead,Very close
E06000004,Stockton-on-Tees,5,E08000036,Wakefield,Very close
